iter	Passed	Remaining
0	14	14297
1	27	13961
2	40	13478
3	51	12776
4	64	12882
5	77	12916
6	89	12734
7	100	12419
8	111	12276
9	122	12161
10	133	12034
11	144	11885
12	156	11853
13	167	11830
14	179	11784
15	192	11827
16	202	11699
17	211	11543
18	221	11455
19	230	11310
20	241	11266
21	252	11243
22	262	11169
23	273	11116
24	287	11197
25	297	11140
26	307	11080
27	318	11046
28	327	10953
29	339	10963
30	350	10957
31	361	10920
32	371	10886
33	381	10838
34	393	10847
35	404	10819
36	414	10779
37	424	10738
38	434	10696
39	444	10674
40	455	10648
41	467	10662
42	481	10707
43	493	10715
44	504	10709
45	515	10685
46	525	10660
47	536	10642
48	547	10626
49	559	10624
50	569	10604
51	581	10597
52	592	10581
53	603	10564
54	613	10545
55	623	10503
56	635	10517
57	646	10493
58	655	10462
59	665	10431
60	674	10390
61	688	10416
62	700	10418
63	711	10402
64	721	10384
65	733	10379
66	744	10369
67	754	10342
68	764	10320
69	775	10304
70	787	10301
71	798	10289
72	810	10288
73	820	10263
74	831	10249
75	841	10234
76	851	10201
77	861	10188
78	871	10164
79	882	10147
80	895	10157
81	907	10153
82	917	10137
83	928	10127
84	939	10110
85	953	10130
86	967	10149
87	981	10169
88	996	10198
89	1009	10208
90	1024	10231
91	1037	10239
92	1049	10239
93	1062	10237
94	1074	10233
95	1087	10235
96	1101	10254
97	1113	10249
98	1126	10256
99	1138	10243
100	1150	10237
101	1161	10222
102	1173	10217
103	1184	10202
104	1197	10206
105	1209	10204
106	1222	10200
107	1232	10181
108	1247	10195
109	1261	10204
110	1273	10198
111	1284	10185
112	1294	10162
113	1306	10154
114	1317	10141
115	1328	10120
116	1338	10104
117	1350	10093
118	1360	10074
119	1373	10074
120	1385	10067
121	1397	10060
122	1409	10053
123	1422	10048
124	1435	10045
125	1447	10037
126	1460	10037
127	1473	10038
128	1484	10026
129	1493	9997
130	1508	10009
131	1524	10024
132	1539	10037
133	1553	10038
134	1567	10043
135	1579	10032
136	1592	10029
137	1605	10028
138	1616	10012
139	1626	9993
140	1637	9975
141	1648	9961
142	1658	9940
143	1671	9938
144	1683	9924
145	1694	9914
146	1705	9899
147	1717	9885
148	1727	9869
149	1738	9851
