iter	Passed	Remaining
398	128085	192930
399	128448	192673
400	128803	192401
401	129156	192128
402	129553	191919
403	129910	191649
404	130280	191399
405	130618	191101
406	130960	190809
407	131311	190529
408	131680	190276
409	132039	190007
410	132397	189737
411	132731	189431
412	133070	189134
413	133439	188878
414	133763	188558
415	134098	188253
416	134434	187950
417	134810	187702
418	135148	187401
419	135473	187082
420	135789	186750
421	136124	186444
422	136443	186118
423	136770	185801
424	137093	185479
425	137430	185176
426	137763	184868
427	138092	184553
428	138423	184241
429	138754	183930
430	139090	183625
431	139425	183319
432	139756	183006
433	140088	182696
434	140408	182369
435	140747	182068
436	141086	181766
437	141438	181481
438	141774	181174
439	142119	180879
440	142461	180580
441	142789	180263
442	143180	180026
443	143528	179733
444	143889	179458
445	144228	179153
446	144575	178860
447	144925	178569
448	145305	178314
449	145654	178021
450	145997	177722
451	146369	177456
452	146737	177186
453	147053	176852
454	147400	176556
455	147768	176285
456	148101	175971
457	148438	175663
458	148774	175353
459	149099	175030
460	149443	174728
461	149786	174426
462	150133	174128
463	150474	173824
464	150829	173535
465	151166	173225
466	151484	172893
467	151834	172598
468	152192	172311
469	152535	172008
470	152844	171665
471	153180	171354
472	153494	171018
473	153866	170746
474	154209	170441
475	154540	170124
476	154864	169799
477	155197	169483
478	155513	169149
479	155863	168851
480	156240	168584
481	156567	168261
482	156920	167966
483	157263	167661
484	157614	167363
485	157968	167070
486	158310	166762
487	158647	166450
488	159012	166166
489	159347	165851
490	159685	165539
491	160070	165276
492	160416	164971
493	160758	164663
494	161104	164359
495	161424	164027
496	161736	163688
497	162056	163358
498	162374	163024
499	162695	162695
500	163026	162375
501	163363	162061
502	163679	161727
503	164010	161407
504	164343	161089
505	164683	160777
506	165157	160597
507	165477	160265
508	165814	159951
509	166122	159608
510	166490	159322
511	166829	159009
512	167172	158699
513	167529	158403
514	167895	158115
515	168245	157811
516	168574	157488
517	168908	157169
518	169240	156849
519	169572	156528
520	169920	156222
521	170254	155904
522	170592	155588
523	170919	155262
524	171263	154952
525	171585	154623
526	171910	154295
527	172230	153963
528	172550	153631
529	172882	153311
530	173205	152981
531	173530	152655
532	173845	152318
533	174173	151994
534	174500	151668
535	174844	151357
536	175160	151023
537	175486	150696
538	175801	150360
539	176117	150026
540	176451	149706
541	176763	149368
542	177119	149067
543	177425	148724
544	177750	148397
545	178080	148073
546	178398	147741
547	178720	147411
548	179058	147095
549	179372	146759
550	179693	146429
551	179996	146084
552	180376	145801
553	180778	145536
554	181106	145211
555	181418	144873
556	181796	144588
557	182268	144377
558	182660	144102
559	182999	143785
560	183308	143444
561	183641	143122
562	183961	142791
563	184274	142453
564	184591	142119
565	184891	141771
566	185166	141406
567	185520	141100
568	185821	140753
569	186118	140405
570	186416	140057
571	186716	139711
572	187006	139357
573	187358	139049
574	187711	138743
575	188009	138396
576	188297	138041
577	188607	137703
578	188913	137361
579	189278	137063
580	189575	136716
581	189929	136410
582	190295	136112
583	190651	135806
584	190980	135481
585	191279	135135
586	191573	134787
587	191870	134439
588	192176	134099
589	192475	133754
590	192775	133410
591	193067	133059
592	193353	132706
593	193653	132362
594	193940	132010
595	194229	131659
596	194530	131315
597	194830	130973
598	195130	130630
599	195428	130285
600	195717	129935
601	196009	129587
602	196302	129240
603	196596	128894
604	196876	128539
605	197175	128196
606	197461	127845
607	197753	127498
608	198050	127155
609	198346	126811
610	198666	126483
611	198964	126140
612	199257	125795
613	199548	125448
614	200013	125211
615	200400	124924
616	200764	124623
617	201107	124309
618	201453	123996
619	201792	123679
620	202142	123368
621	202532	123082
622	202847	122750
623	203134	122401
624	203503	122102
625	203839	121782
626	204179	121465
627	204557	121170
628	204887	120847
629	205244	120540
630	205576	120218
631	205903	119893
632	206220	119562
633	206530	119227
634	206857	118902
635	207177	118573
636	207500	118245
637	207822	117917
638	208142	117589
639	208481	117270
640	208806	116944
641	209093	116597
642	209426	116275
643	209778	115964
644	210096	115634
645	210440	115318
646	210765	114992
647	211108	114676
648	211443	114355
649	211765	114027
650	212087	113699
651	212409	113372
652	212731	113044
653	213044	112711
654	213373	112387
655	213811	112120
656	214160	111806
657	214482	111478
658	214845	111172
659	215136	110827
660	215442	110491
661	215751	110156
662	216070	109827
663	216395	109501
664	216711	109170
665	217047	108849
666	217375	108524
667	217681	108189
668	217977	107848
669	218294	107518
670	218602	107183
671	218909	106848
672	219222	106516
673	219557	106195
674	219860	105858
675	220178	105529
676	220493	105198
677	220810	104868
678	221120	104535
679	221475	104223
680	221795	103895
681	222100	103560
682	222398	103221
683	222677	102874
684	223001	102547
685	223322	102220
686	223645	101893
687	223963	101564
688	224281	101235
689	224603	100908
690	224924	100581
691	225239	100251
692	225568	99927
693	225891	99600
694	226212	99272
695	226548	98952
696	226869	98624
697	227189	98297
698	227516	97972
699	227892	97668
700	228271	97365
701	228625	97052
702	228950	96726
703	229280	96402
704	229601	96074
705	229922	95746
706	230241	95418
707	230555	95087
708	230879	94761
709	231200	94433
710	231508	94101
711	231859	93785
712	232185	93460
713	232500	93130
714	232811	92798
715	233123	92467
716	233452	92143
717	233788	91822
718	234113	91496
719	234438	91170
720	234763	90844
721	235082	90516
722	235410	90191
723	235761	89876
724	236106	89557
725	236431	89231
726	236758	88906
727	237074	88577
728	237378	88243
729	237689	87912
730	237998	87580
731	238359	87268
732	238679	86940
733	239004	86614
734	239335	86291
735	239651	85961
736	239976	85636
737	240316	85315
738	240655	84994
739	240980	84668
740	241303	84342
741	241647	84022
742	241972	83697
743	242314	83377
744	242626	83046
745	242945	82718
746	243265	82391
747	243614	82073
748	243929	81744
749	244238	81412
750	244544	81080
751	244862	80752
752	245175	80422
753	245562	80117
754	245896	79794
755	246215	79466
756	246534	79138
757	246847	78808
758	247186	78487
759	247492	78155
760	247800	77824
761	248114	77494
762	248433	77167
763	248748	76838
764	249075	76513
765	249385	76182
766	249690	75851
767	250008	75523
768	250345	75201
769	250699	74884
770	251059	74568
771	251391	74245
772	251763	73933
773	252105	73612
774	252439	73288
775	252772	72965
776	253104	72641
777	253438	72317
778	253765	71992
779	254096	71668
780	254399	71336
781	254737	71013
782	255057	70686
783	255374	70358
784	255691	70030
785	256026	69707
786	256378	69388
787	256712	69064
788	257087	68752
789	257420	68428
790	257757	68105
791	258085	67780
792	258424	67457
793	258759	67134
794	259089	66809
795	259427	66486
796	259751	66160
797	260116	65843
798	260463	65523
799	260809	65202
800	261128	64874
801	261447	64546
802	261763	64218
803	262084	63891
804	262409	63565
805	262766	63246
806	263104	62923
807	263508	62615
808	263877	62299
809	264279	61991
810	264576	61658
811	264858	61321
812	265166	60991
813	265436	60652
814	265788	60332
815	266394	60069
816	266864	59775
817	267192	59448
818	267523	59123
819	267871	58801
820	268227	58480
821	268582	58160
822	268909	57833
823	269242	57508
824	269586	57185
825	270070	56891
826	270948	56679
827	271438	56385
828	271855	56076
829	272256	55763
830	272674	55453
831	273134	55152
832	273470	54825
833	273829	54503
834	274158	54175
835	274677	53884
836	275045	53563
837	275436	53246
838	275827	52929
839	276127	52595
840	276443	52264
841	276783	51937
842	277125	51611
843	277489	51289
844	277827	50962
845	278157	50633
846	278456	50299
847	278762	49966
848	279086	49637
849	279408	49307
850	279735	48978
851	280048	48646
852	280352	48313
853	280638	47978
854	280936	47644
855	281254	47313
856	281574	46983
857	281905	46655
858	282222	46325
859	282553	45997
860	282872	45666
861	283195	45337
862	283512	45007
863	283831	44677
864	284152	44347
865	284469	44017
866	284786	43687
867	285132	43361
868	285476	43034
869	285803	42706
870	286126	42376
871	286490	42053
872	286823	41725
873	287155	41397
874	287461	41065
875	287777	40735
876	288076	40402
877	288394	40073
878	288735	39746
879	289065	39417
880	289366	39085
881	289685	38756
882	289992	38424
883	290309	38094
884	290639	37766
885	290955	37436
886	291277	37107
887	291633	36782
888	291945	36452
889	292266	36122
890	292567	35791
891	292862	35458
892	293181	35129
893	293506	34800
894	293821	34470
895	294113	34138
896	294412	33806
897	294727	33476
898	295062	33149
899	295379	32819
900	295690	32489
901	296009	32160
902	296330	31831
903	296648	31502
904	296971	31173
905	297286	30844
906	297624	30517
907	297974	30191
908	298292	29862
909	298616	29533
910	298925	29203
911	299241	28874
912	299567	28545
913	299888	28217
914	300202	27887
915	300546	27561
916	300884	27233
917	301208	26905
918	301535	26577
919	301911	26253
920	302260	25926
921	302573	25597
922	302905	25269
923	303232	24941
924	303545	24611
925	303949	24289
926	304306	23963
927	304618	23634
928	304922	23304
929	305248	22975
930	305565	22646
931	305880	22317
932	306197	21988
933	306520	21659
934	306842	21331
935	307158	21002
936	307467	20672
937	307765	20342
938	308044	20011
939	308386	19684
940	308717	19356
941	309042	19028
942	309363	18699
943	309692	18371
944	310015	18043
945	310374	17716
946	310713	17389
947	311049	17061
948	311377	16733
949	311686	16404
950	311988	16075
951	312292	15745
952	312624	15418
953	312963	15090
954	313288	14762
955	313611	14434
956	313932	14105
957	314266	13777
958	314605	13450
959	314937	13122
960	315278	12794
961	315621	12467
962	315941	12138
963	316277	11811
964	316655	11484
965	316981	11156
966	317315	10828
967	317659	10501
968	317998	10173
969	318364	9846
970	318714	9518
971	319059	9191
972	319396	8863
973	319731	8534
974	320037	8206
975	320355	7877
976	320667	7548
977	320975	7220
978	321296	6891
979	321618	6563
980	321935	6235
981	322250	5906
982	322569	5578
983	322890	5250
984	323197	4921
985	323502	4593
986	323850	4265
987	324168	3937
988	324481	3608
989	324789	3280
990	325080	2952
991	325387	2624
992	325705	2296
993	326018	1967
994	326323	1639
995	326634	1311
996	326951	983
997	327266	655
998	327586	327
999	327902	0
