iter	Logloss
283	0.1813389617
284	0.1813047709
285	0.1812877441
286	0.1812582038
287	0.1812063755
288	0.1811638998
289	0.1811302598
290	0.1811188253
291	0.181093934
292	0.1810785092
293	0.1810580167
294	0.1810039549
295	0.1809777727
296	0.1809489829
297	0.1809268087
298	0.180885293
299	0.1808608338
300	0.180820772
301	0.1808108611
302	0.1807650633
303	0.1807230833
304	0.1806798318
305	0.1806459164
306	0.1806234286
307	0.1805824675
308	0.180548367
309	0.1805132721
310	0.1804559451
311	0.1804370547
312	0.1804082251
313	0.1803743135
314	0.1803462853
315	0.1802936973
316	0.1802814027
317	0.1802600381
318	0.1802317859
319	0.1801961972
320	0.1801611974
321	0.1801207442
322	0.1800705749
323	0.1800338743
324	0.1800086933
325	0.1799814778
326	0.1799476394
327	0.1799213085
328	0.1798741299
329	0.1798389316
330	0.1798045849
331	0.1797859454
332	0.1797417801
333	0.17972115
334	0.1797211832
335	0.1796962881
336	0.1796878462
337	0.1796373455
338	0.1795891118
339	0.179534628
340	0.1795191756
341	0.1794749819
342	0.1794332933
343	0.1793989715
344	0.1793747487
345	0.1793456874
346	0.1793141187
347	0.1792781121
348	0.1792440734
349	0.1792175808
350	0.1791929743
351	0.1791548064
352	0.1791141044
353	0.1791024565
354	0.1790907951
355	0.1790498504
356	0.179012858
357	0.178973843
358	0.178964061
359	0.1789097283
360	0.1788800943
361	0.1788378815
362	0.1788133301
363	0.1788057135
364	0.1787827918
365	0.1787574514
366	0.1787110475
367	0.1786671092
368	0.1786552904
369	0.1786371902
370	0.1786174443
371	0.1785843523
372	0.1785763966
373	0.1785551465
374	0.1785459193
375	0.1785223337
376	0.178510509
377	0.1784647292
378	0.1784337949
379	0.1784044467
380	0.1783966165
381	0.1783162708
382	0.1782795702
383	0.1782398722
384	0.1782033746
385	0.1781825288
386	0.1781534845
387	0.1781061862
388	0.1780745568
389	0.17804648
390	0.1780253
391	0.1779997429
392	0.1779678666
393	0.1779078005
394	0.1778635382
395	0.1778397389
396	0.177798266
397	0.1777724372
398	0.1777397299
399	0.1777165186
400	0.1776779831
401	0.1776581411
402	0.1776152285
403	0.1775371877
404	0.177531635
405	0.1775173771
406	0.1774861239
407	0.1774612619
408	0.1774303941
409	0.1774226921
410	0.1774049159
411	0.1773609243
412	0.1773370596
413	0.177303656
414	0.1772430192
415	0.1772175098
416	0.1771766663
417	0.1771420539
418	0.1771372439
419	0.1771133999
420	0.1770926569
421	0.1770676848
422	0.1770329896
423	0.177008935
424	0.17699153
425	0.1769677014
426	0.1769211921
427	0.1768773354
428	0.1768580606
429	0.176825321
430	0.176794743
431	0.1767892044
432	0.1767636804
433	0.1767463989
434	0.1767271724
435	0.1766970634
436	0.1766712318
437	0.1766563112
438	0.1765960087
439	0.1765710651
440	0.1765676596
441	0.1765547429
442	0.1765229092
443	0.1765012952
444	0.1764937073
445	0.176462925
446	0.1764318958
447	0.1764110869
448	0.1763931492
449	0.1763686606
450	0.1763490627
451	0.1763210014
452	0.1763023714
453	0.1762758094
454	0.1762531735
455	0.1762246411
456	0.1761970192
457	0.1761837634
458	0.1761699796
459	0.1761145993
460	0.1760786869
461	0.1760759101
462	0.1760484459
463	0.1760309942
464	0.1760094555
465	0.1759842004
466	0.1759256919
467	0.1759002476
468	0.1758646617
469	0.1758055702
470	0.1757838878
471	0.1757577997
472	0.1757306254
473	0.1757098347
474	0.1756855389
475	0.1756302432
476	0.1755996251
477	0.1755789455
478	0.1755598949
479	0.1755303774
480	0.1754480507
481	0.1754276276
482	0.1753995786
483	0.1753503161
484	0.175322079
485	0.1752965231
486	0.1752591278
487	0.1752301918
488	0.1751986829
489	0.1751650201
490	0.1751175813
491	0.1750900052
492	0.1750510717
493	0.1750320228
494	0.1749718181
495	0.174952848
496	0.1749007812
497	0.1748841522
498	0.1748584166
499	0.1748300264
500	0.1747995822
501	0.174777788
502	0.174731916
503	0.174693428
504	0.1746491704
505	0.174593244
506	0.174534939
507	0.1745227649
508	0.174492999
509	0.1744108935
510	0.1743772516
511	0.174348438
512	0.1743177155
513	0.1742963714
514	0.1742759644
515	0.1742476798
516	0.1741823733
517	0.1741263065
518	0.1740575217
519	0.1740331259
520	0.1739795084
521	0.1739130414
522	0.1738896621
523	0.1738811707
524	0.1738387063
525	0.1738135196
526	0.1737726858
527	0.1737442597
528	0.1736955994
529	0.1736771792
530	0.1736238247
531	0.173583026
532	0.1735692394
533	0.1735551137
534	0.1735265061
535	0.1735022073
536	0.1734771679
537	0.1734266179
538	0.1733998785
539	0.1733288008
540	0.1733064403
541	0.1732850162
542	0.1732631391
543	0.1732392088
544	0.1732265674
545	0.1732059659
546	0.1731833301
547	0.1731635812
548	0.1731406358
549	0.173120131
550	0.1730859353
551	0.1730386142
552	0.1730196593
553	0.1729924117
554	0.1729639437
555	0.1729431645
556	0.1729206113
557	0.1729070983
558	0.1728892574
559	0.1728496506
560	0.1728089249
561	0.1727915369
562	0.1727615866
563	0.1727343637
564	0.1726953817
565	0.1726742977
566	0.1726550684
567	0.1726347183
568	0.1726103607
569	0.1725840011
570	0.1725644327
571	0.1725517269
572	0.1724947614
573	0.172476776
574	0.1724602562
575	0.1724135817
576	0.1723534901
577	0.1723423816
578	0.1722945463
579	0.1722651818
580	0.1722491655
581	0.1722225276
582	0.1721884471
583	0.1721705264
584	0.1721418343
585	0.1721001989
586	0.1720560261
587	0.1720016303
588	0.171969581
589	0.1719309781
590	0.1719004171
591	0.1718508082
592	0.1717987382
593	0.1717844663
594	0.1717462488
595	0.1717297129
596	0.1716863585
597	0.1716627075
598	0.1716446111
599	0.1716327134
600	0.1715830984
601	0.1715388484
602	0.1714913171
603	0.1714662167
604	0.1714449825
605	0.1714295311
606	0.1714021183
607	0.1713763856
608	0.1713522815
609	0.1713164904
610	0.1712755409
611	0.1712240353
612	0.1711973445
613	0.1711817486
614	0.1711630701
615	0.1711483945
616	0.1711223731
617	0.1711051484
618	0.171097835
619	0.1710747802
620	0.1710580876
621	0.1710483353
622	0.1710339017
623	0.1710172719
624	0.1709758678
625	0.1709368241
626	0.1709117391
627	0.1708854058
628	0.1708235528
629	0.1707814303
630	0.1707434246
631	0.1706979606
632	0.1706874657
633	0.1706773429
634	0.170653499
635	0.1706346753
636	0.170603061
637	0.1705440825
638	0.1705205435
639	0.1704890348
640	0.1704399668
641	0.1704240312
642	0.1703805548
643	0.1703602447
644	0.1703263096
645	0.1702699785
646	0.1702275996
647	0.1701999103
648	0.1701782279
649	0.1701368184
650	0.1701215777
651	0.1700985249
652	0.1700730458
653	0.1700401751
654	0.1700213597
655	0.1700059756
656	0.1699971114
657	0.169978691
658	0.169913563
659	0.1698743824
660	0.1698511386
661	0.1698284393
662	0.169790506
663	0.1697624485
664	0.1697251322
